1.41E+00,1.41E+00
1.00E-15,2.00E+00
5.00E+00,5.00E+00
1.00E-15,5.00E+00
2.00E+00,0.00E+00
5.00E+00,0.00E+00
2.37E+00,2.50E-01
2.34E+00,4.98E-01
2.30E+00,7.42E-01
2.24E+00,9.82E-01
2.17E+00,1.22E+00
2.08E+00,1.44E+00
1.98E+00,1.66E+00
2.74E+00,3.03E-01
2.72E+00,6.05E-01
2.69E+00,9.04E-01
2.64E+00,1.20E+00
2.57E+00,1.49E+00
2.50E+00,1.77E+00
2.41E+00,2.05E+00
3.12E+00,3.57E-01
3.10E+00,7.13E-01
3.07E+00,1.07E+00
3.03E+00,1.42E+00
2.98E+00,1.76E+00
2.91E+00,2.10E+00
2.84E+00,2.43E+00
3.50E+00,4.11E-01
3.48E+00,8.20E-01
3.46E+00,1.23E+00
3.42E+00,1.63E+00
3.38E+00,2.03E+00
3.33E+00,2.43E+00
3.27E+00,2.82E+00
3.87E+00,4.64E-01
3.86E+00,9.28E-01
3.84E+00,1.39E+00
3.82E+00,1.85E+00
3.79E+00,2.31E+00
3.75E+00,2.76E+00
3.70E+00,3.21E+00
4.25E+00,5.18E-01
4.24E+00,1.04E+00
4.23E+00,1.55E+00
4.21E+00,2.07E+00
4.19E+00,2.58E+00
4.17E+00,3.09E+00
4.14E+00,3.60E+00
4.62E+00,5.71E-01
4.62E+00,1.14E+00
4.61E+00,1.71E+00
4.61E+00,2.28E+00
4.60E+00,2.85E+00
4.58E+00,3.42E+00
4.57E+00,3.99E+00
5.00E+00,6.25E-01
5.00E+00,1.25E+00
5.00E+00,1.88E+00
5.00E+00,2.50E+00
5.00E+00,3.13E+00
5.00E+00,3.75E+00
5.00E+00,4.38E+00
2.38E+00,0.00E+00
2.75E+00,0.00E+00
3.13E+00,0.00E+00
3.50E+00,0.00E+00
3.88E+00,0.00E+00
4.25E+00,0.00E+00
4.63E+00,0.00E+00
1.99E+00,1.96E-01
1.96E+00,3.90E-01
1.91E+00,5.81E-01
1.85E+00,7.65E-01
1.76E+00,9.43E-01
1.66E+00,1.11E+00
1.55E+00,1.27E+00
4.55E+00,4.55E+00
4.10E+00,4.10E+00
3.66E+00,3.66E+00
3.21E+00,3.21E+00
2.76E+00,2.76E+00
2.31E+00,2.31E+00
1.86E+00,1.86E+00
1.66E+00,1.98E+00
1.44E+00,2.08E+00
1.22E+00,2.17E+00
9.82E-01,2.24E+00
7.42E-01,2.30E+00
4.98E-01,2.34E+00
2.50E-01,2.37E+00
2.05E+00,2.41E+00
1.77E+00,2.50E+00
1.49E+00,2.57E+00
1.20E+00,2.64E+00
9.04E-01,2.69E+00
6.05E-01,2.72E+00
3.03E-01,2.74E+00
2.43E+00,2.84E+00
2.10E+00,2.91E+00
1.76E+00,2.98E+00
1.42E+00,3.03E+00
1.07E+00,3.07E+00
7.13E-01,3.10E+00
3.57E-01,3.12E+00
2.82E+00,3.27E+00
2.43E+00,3.33E+00
2.03E+00,3.38E+00
1.63E+00,3.42E+00
1.23E+00,3.46E+00
8.20E-01,3.48E+00
4.11E-01,3.50E+00
3.21E+00,3.70E+00
2.76E+00,3.75E+00
2.31E+00,3.79E+00
1.85E+00,3.82E+00
1.39E+00,3.84E+00
9.28E-01,3.86E+00
4.64E-01,3.87E+00
3.60E+00,4.14E+00
3.09E+00,4.17E+00
2.58E+00,4.19E+00
2.07E+00,4.21E+00
1.55E+00,4.23E+00
1.04E+00,4.24E+00
5.18E-01,4.25E+00
3.99E+00,4.57E+00
3.42E+00,4.58E+00
2.85E+00,4.60E+00
2.28E+00,4.61E+00
1.71E+00,4.61E+00
1.14E+00,4.62E+00
5.71E-01,4.62E+00
9.17E-16,4.63E+00
9.46E-16,4.25E+00
9.75E-16,3.88E+00
1.00E-15,3.50E+00
1.03E-15,3.13E+00
1.06E-15,2.75E+00
1.09E-15,2.38E+00
4.38E+00,5.00E+00
3.75E+00,5.00E+00
3.13E+00,5.00E+00
2.50E+00,5.00E+00
1.88E+00,5.00E+00
1.25E+00,5.00E+00
6.25E-01,5.00E+00
1.27E+00,1.55E+00
1.11E+00,1.66E+00
9.43E-01,1.76E+00
7.65E-01,1.85E+00
5.81E-01,1.91E+00
3.90E-01,1.96E+00
1.96E-01,1.99E+00
